time_myr,bh_id,mass_msun,vx,vy,vz,x,y,z
20.001,1094.0,13.7379,-2.0089,-0.1116,0.4908,-1.4952,-1.5393,-0.0648
20.001,121955.0,13.922,-0.8978,-0.8672,-0.0439,-0.5186,-1.1804,-0.5868
20.001,113839.0,13.6492,0.1941,-0.8161,0.0253,0.0941,-0.7817,-0.3348
20.001,139847.0,14.9232,-0.5783,-1.1046,0.5501,-0.6629,-4.1029,1.365
20.001,140375.0,14.5912,-0.3876,-0.4504,-0.0591,-0.1188,-0.4748,-2.3894
20.001,140792.0,14.1112,-0.8828,0.1493,1.4371,-0.2,-1.3653,3.0854
20.001,142010.0,14.2812,0.6872,0.5448,-0.0191,2.232,-1.3541,-2.6089
20.001,148477.0,14.0387,0.4261,0.5096,0.3561,0.7503,0.8092,0.6336
20.001,106734.0,14.25,-0.3657,-0.4555,-0.168,-0.0869,0.0314,-0.2705
20.001,60751.0,13.5213,-0.0495,0.2913,0.4003,-0.0769,0.1002,-0.0077
20.001,164961.0,13.8028,1.1809,-0.3484,0.5991,-0.9598,-0.5562,-1.3466
20.001,197898.0,13.525,-0.0387,-0.6748,-0.7805,-1.3675,0.3133,-0.5708
20.001,175677.0,15.0611,-1.4571,0.3049,-1.0823,-3.7236,-0.0122,-1.7657
20.001,69563.0,14.0088,0.1447,-0.0613,-0.4957,0.0567,-0.0632,-0.173
20.001,144263.0,14.3768,0.0097,0.1045,-0.523,0.5938,-0.3189,-1.9016
20.001,188176.0,13.6022,-0.6071,2.1026,0.7322,-2.1916,0.7961,-2.6089
20.001,164596.0,14.5204,0.6259,-0.9195,-1.1932,0.9158,-1.1314,-1.9028
20.001,189814.0,13.6914,-2.146,-1.067,0.2005,-0.5765,-1.6533,-0.0369
20.001,116987.0,14.2292,-1.4944,0.0752,-0.6896,-2.3883,0.6731,-1.5277
20.001,114015.0,14.1486,0.0808,0.1684,1.5667,-1.9089,-0.7002,2.3374
20.001,63615.0,14.9009,-1.0122,-0.2155,1.6634,-2.6536,-0.631,4.4307
20.001,80174.0,14.4268,-0.8707,0.2753,-0.4181,-2.4649,0.4163,-0.7915
20.001,172740.0,15.0589,0.3333,-0.6088,1.15,1.2492,-1.6758,3.465
20.001,10566.0,14.2732,-0.5498,-2.4019,0.5141,-0.7832,-4.6412,2.6036
20.001,71259.0,13.6913,-0.4756,-0.5637,-0.9059,-0.2396,-0.3267,-0.6481
20.001,26198.0,14.7988,0.1166,0.0764,-0.0044,-0.9678,-0.1994,0.3146
20.001,56793.0,14.5857,0.4169,0.7996,-0.0932,-0.247,0.2136,-0.4179
20.001,3838.0,14.7008,-0.6909,-0.1629,0.4371,-0.2601,0.1467,0.1189
20.001,55049.0,13.5946,-1.1275,-1.1462,-0.8557,-0.5001,-0.471,-0.1519
20.001,56715.0,13.6271,0.9487,0.7542,-3.322,0.3071,0.2856,-0.6866
20.001,72102.0,13.5388,-0.8942,-1.3075,0.7884,0.2652,-0.1754,1.7478
20.001,41660.0,14.7604,0.3494,1.4929,2.7878,1.7069,2.604,6.2059
20.001,165870.0,14.561,-0.0027,-0.1048,-0.299,-0.122,-0.8521,-1.349
20.001,75833.0,14.5167,-0.178,0.1191,0.5162,0.9332,0.6985,2.3808
20.001,77052.0,14.6265,1.03,-0.8115,0.0266,2.0701,0.7436,-0.5204
20.001,82943.0,14.9141,-1.1734,-0.0215,-2.1273,-3.2142,0.5435,-4.0966
20.001,95987.0,14.395,0.0952,-0.8567,-0.9619,-0.6427,-0.6704,0.1041
20.001,99118.0,13.6538,-1.4599,0.3393,-0.568,1.4439,-1.6356,0.9031
20.001,8420.0,14.4656,-0.5109,0.6504,-0.3094,0.7707,0.0186,-1.5787
20.001,72517.0,13.7305,0.1552,-0.0303,0.3226,-0.2454,-0.3726,0.1727
20.001,105055.0,14.7946,-1.0095,-0.5402,-0.4114,-5.1845,-1.182,-0.1002
30.0002,169516.0,13.409,0.1608,-0.7216,-0.2264,0.036,0.1529,0.1722
30.0002,133576.0,10.2363,0.7966,-0.4791,-0.311,2.026,-0.9783,-0.67
30.0002,159102.0,10.4561,-0.2448,0.9884,0.3219,-0.0761,3.0062,1.595
30.0002,125237.0,13.4118,-1.2753,0.5937,-0.5494,-12.4462,5.8672,-3.4507
30.0002,113839.0,13.6492,0.0795,-0.2576,0.0508,-0.459,0.7437,-1.3457
30.0002,3801.0,14.5122,0.0936,0.4697,0.4394,0.5602,3.4062,3.455
30.0002,133978.0,9.8609,0.9373,-0.1778,-0.4554,1.7584,-0.2928,-1.0098
30.0002,178606.0,15.5545,-0.368,0.1579,-0.0117,-1.9824,1.4639,-0.6623
30.0002,137518.0,14.2606,0.4321,0.5783,1.2701,2.3852,3.4445,9.3898
30.0002,148477.0,14.0387,-0.4322,-0.6503,-0.3009,-0.564,-0.731,-0.4674
30.0002,140375.0,14.5912,0.0785,0.1678,0.4259,-2.0969,-2.0232,0.7695
30.0002,140792.0,14.1112,-0.8211,0.2672,1.29,-8.6512,0.8463,16.3427
30.0002,142010.0,14.2812,0.4828,0.472,0.1401,7.7646,3.8876,-1.6415
30.0002,143003.0,13.4585,-0.6388,-0.0299,-1.5458,-6.1159,-0.5555,-13.8957
30.0002,143147.0,8.4719,-1.3158,-0.7925,-1.3725,-0.3055,1.119,0.7572
30.0002,145612.0,14.5419,0.6848,-0.9925,2.2896,2.0314,-4.8053,11.4176
30.0002,137443.0,13.4899,2.1794,0.8798,0.3633,21.5693,10.3387,3.3027
30.0002,148406.0,14.0722,0.3256,0.1593,-0.4961,3.9696,2.3652,-2.5807
30.0002,148693.0,9.5646,1.0673,-1.1373,-0.5196,2.177,-2.1659,-1.1188
30.0002,139847.0,14.9232,-0.6498,-0.9282,0.5045,-6.7622,-14.0205,6.5505
30.0002,151114.0,15.3749,0.192,-0.1469,-0.8214,-0.0797,0.4865,0.3667
30.0002,165870.0,14.561,-0.0157,-0.0807,-0.227,-0.1544,0.1986,1.8879
30.0002,121955.0,13.922,-0.6403,-0.3761,0.065,-7.5336,-6.1855,-0.0558
30.0002,8420.0,14.4656,-0.2147,0.0902,0.3411,-3.3354,3.3231,0.5971
30.0002,2337.0,15.5225,0.3078,-0.7052,-2.4094,1.8172,-2.3696,-8.7128
30.0002,108659.0,14.4991,-0.0107,-0.1382,0.2249,0.0788,-0.0693,-0.099
30.0002,14205.0,13.9834,-0.8163,0.1225,-0.2826,0.0236,-0.0858,0.0375
30.0002,104983.0,10.2625,0.5756,-0.0431,-0.5233,0.5651,-1.6933,1.2859
30.0002,105055.0,14.7946,-0.9636,-0.4077,-0.3962,-14.8606,-5.8691,-4.1307
30.0002,80174.0,14.4268,-0.5622,0.275,-0.3067,-9.0077,3.0762,-4.2072
30.0002,106075.0,13.5899,-0.0457,0.3027,-0.3912,1.1501,2.1537,-3.5663
30.0002,172740.0,15.0589,0.2365,-0.5769,1.0287,4.0027,-7.4825,14.099
30.0002,122262.0,13.4132,-0.0086,-0.0684,-0.3921,-0.6696,-1.0051,1.0538
30.0002,32622.0,13.4259,-0.2827,0.3144,-0.8857,-3.2273,3.0416,-8.7352
30.0002,70895.0,9.3343,0.4718,0.8329,-0.0973,1.0118,1.4397,-0.2143
30.0002,114015.0,14.1486,0.1616,0.1698,1.3907,-0.4633,1.0727,16.7055
30.0002,160642.0,15.346,0.8564,-0.4038,0.4194,3.4117,-1.4036,1.4547
30.0002,116987.0,14.2292,-1.3379,0.19,-0.6046,-16.1485,1.9225,-7.7618
30.0002,91707.0,13.428,0.8534,-0.0534,1.1613,7.7964,0.3144,11.6047
30.0002,148154.0,9.0111,0.002,-0.2229,0.4074,-0.4017,-0.0715,0.0671
30.0002,165361.0,9.1066,0.1671,-0.2615,1.2397,0.1652,-0.7459,1.2137
30.0002,182528.0,9.5977,0.0977,-1.866,-0.2255,0.0537,-3.7419,-0.6477
30.0002,42818.0,9.3118,0.9735,0.0672,-0.5008,1.421,0.1534,-1.1462
30.0002,2404.0,13.4115,-0.2834,0.584,-0.0615,-0.0448,-0.1727,-0.0962
30.0002,63615.0,14.9009,-0.996,-0.1043,1.5961,-12.6047,-2.2072,20.5772
30.0002,193704.0,8.7719,0.3857,0.5973,0.1016,0.544,0.8023,0.0055
30.0002,69563.0,14.0088,-0.0437,0.4979,-0.5989,-0.0077,-0.0328,-0.0379
30.0002,143871.0,13.6249,-0.0972,0.0673,0.0662,0.2954,-0.9531,-2.7377
30.0002,178166.0,14.3481,0.3616,0.4281,0.0645,0.2323,-0.7548,0.6376
30.0002,178245.0,10.4513,1.08,0.4607,-0.9393,3.9708,0.7488,-3.7979
30.0002,178256.0,13.5156,-0.3796,-0.5476,-0.5783,0.1098,-0.939,0.343
30.0002,178565.0,13.6951,-0.0485,-2.1112,-1.3625,0.2693,-15.1456,-6.7962
30.0002,154752.0,8.6224,-0.1154,1.4475,-0.756,-0.2346,1.0914,-0.5847
30.0002,135894.0,8.7548,-0.8112,0.4547,-0.4862,-0.6018,0.3831,1.1422
30.0002,180878.0,9.5164,-0.064,0.4457,-0.3348,0.1462,0.1591,-0.1178
30.0002,182364.0,13.4917,-0.9386,-0.0621,-0.1629,-10.2407,-0.3799,-1.478
30.0002,183140.0,15.1501,-0.3269,-1.4096,-1.0914,-2.5486,-7.4404,-4.8655
30.0002,52438.0,14.5247,-0.3708,0.9953,0.0089,-2.1907,5.9376,0.9214
30.0002,109738.0,13.4149,0.0956,-0.0881,-0.5988,0.0247,-0.0489,0.0852
30.0002,144263.0,14.3768,-0.0455,-0.1701,0.9553,-0.2376,0.582,-0.7516
30.0002,188176.0,13.6022,-0.3122,2.0402,0.7792,-6.492,21.2753,5.1743
30.0002,164596.0,14.5204,0.4567,-0.8585,-1.0255,6.0813,-9.7202,-12.5212
30.0002,96840.0,13.4119,-0.3939,0.5597,1.4438,-3.9405,5.2022,13.5567
30.0002,189814.0,13.6914,-2.092,-0.6898,0.1911,-21.3185,-9.8133,1.8979
30.0002,187554.0,13.4123,0.0726,0.394,-0.5918,0.5921,4.5199,-6.809
30.0002,193678.0,15.4574,-0.4354,-0.0982,0.2051,-5.1243,3.8113,1.1756
30.0002,26636.0,13.7128,0.2742,-0.0469,-0.3353,0.2226,-0.1062,0.1816
30.0002,175677.0,15.0611,-1.3353,0.4387,-1.0273,-17.4467,3.7061,-12.1902
30.0002,174007.0,8.4234,-0.4884,-0.5242,-1.4977,-0.5513,-0.8572,-0.5749
30.0002,88020.0,13.4244,-0.4305,1.5008,-1.212,-4.9729,14.5139,-11.7529
30.0002,163064.0,13.4143,0.8144,-0.6827,0.2011,8.1392,-6.5754,1.6681
30.0002,152251.0,15.2044,-0.619,0.08,-0.538,-2.6714,-0.9818,-3.0738
30.0002,154277.0,13.4062,0.1789,-0.0466,0.0963,2.5662,-1.6362,4.1914
