time_myr,bh_id,mass_msun,vx,vy,vz,x,y,z
20.001,1094.0,13.7379,-2.0089,-0.1116,0.4908,-1.4952,-1.5393,-0.0648
20.001,164961.0,13.8028,1.1809,-0.3484,0.5991,-0.9598,-0.5562,-1.3466
20.001,63615.0,14.9009,-1.0122,-0.2155,1.6634,-2.6536,-0.631,4.4307
20.001,72102.0,13.5388,-0.8942,-1.3075,0.7884,0.2652,-0.1754,1.7478
20.001,105055.0,14.7946,-1.0095,-0.5402,-0.4114,-5.1845,-1.182,-0.1002
30.0002,148477.0,14.0387,-0.4322,-0.6503,-0.3009,-0.564,-0.731,-0.4674
30.0002,139847.0,14.9232,-0.6498,-0.9282,0.5045,-6.7622,-14.0205,6.5505
30.0002,80174.0,14.4268,-0.5622,0.275,-0.3067,-9.0077,3.0762,-4.2072
30.0002,148154.0,9.0111,0.002,-0.2229,0.4074,-0.4017,-0.0715,0.0671
30.0002,178245.0,10.4513,1.08,0.4607,-0.9393,3.9708,0.7488,-3.7979
30.0002,144263.0,14.3768,-0.0455,-0.1701,0.9553,-0.2376,0.582,-0.7516
30.0002,88020.0,13.4244,-0.4305,1.5008,-1.212,-4.9729,14.5139,-11.7529
30.0002,149981.0,13.4453,-1.6128,-0.9638,0.3133,-15.4459,-10.0315,3.8507
30.0002,171973.0,14.178,1.3342,-1.0978,-1.2915,7.9204,-6.5477,-7.9151
30.0002,37197.0,13.4125,0.1201,0.8991,0.0215,3.4816,8.6031,0.8535
30.0002,45373.0,10.448,-1.4278,-1.5583,-1.6087,-3.7302,-4.5343,-3.7283
30.0002,1094.0,13.7379,-1.8208,0.1685,0.4656,-20.0695,-0.886,4.6653
30.0002,14326.0,10.6302,-0.1609,2.0292,-0.6697,-0.6823,6.8979,-1.6869
30.0002,171103.0,13.5958,-0.417,-0.4583,-0.642,-3.7239,-4.2421,-5.9272
30.0002,82943.0,14.9141,-1.1415,0.0931,-2.0714,-14.6935,0.8907,-24.9609
30.0002,92648.0,13.4541,0.6725,-0.0061,0.0989,5.9983,-1.4424,2.3966
30.0002,56715.0,13.6271,0.9314,0.5909,-3.0759,9.3394,6.7152,-31.6841
30.0002,72227.0,13.7507,-0.1719,0.4234,0.3358,-1.0362,-0.2532,-0.9162
40.0,178606.0,15.5545,0.4769,-0.3106,0.1049,-1.794,0.7425,0.0141
40.0,133978.0,9.8609,0.5887,-0.1818,-0.281,8.6235,-1.9763,-4.2858
40.0,145612.0,14.5419,0.58,-1.0502,2.2662,8.3503,-15.0147,34.1699
40.0,172740.0,15.0589,0.1759,-0.5889,1.0067,6.0601,-13.3087,24.2629
40.0,117899.0,4.2905,-0.6009,-0.1977,0.0183,-0.1702,0.1011,-0.1985
40.0,182528.0,9.5977,-0.0885,-1.7592,-0.2093,0.0865,-21.6022,-2.7778
40.0,115433.0,4.1229,-0.95,-1.2853,0.5665,-1.1733,0.5661,-0.4148
40.0,109738.0,13.4149,0.1068,-0.1758,0.4718,-0.0368,0.1717,-0.166
40.0,165947.0,5.8594,0.404,0.0945,-1.3639,2.6553,0.9883,-8.6634
40.0,196422.0,6.195,-0.0447,0.2126,2.316,0.0104,2.8516,13.7599
40.0,96840.0,13.4119,-0.3342,0.5903,1.4203,-7.575,10.9489,27.8585
40.0,157538.0,5.6217,-0.297,0.3663,0.2489,-0.3349,3.0097,-2.0813
40.0,163177.0,5.8858,0.6548,0.3828,0.072,-0.235,0.4879,-0.0365
40.0,115438.0,14.3358,-0.2941,0.4453,-0.051,-0.1151,0.0776,0.0144
40.0,122616.0,9.0127,-0.0989,0.5368,-0.2224,0.0636,-0.1804,-0.1702
40.0,119701.0,13.5403,0.321,-0.2328,0.0076,-0.3586,0.0862,-0.1309
40.0,159191.0,9.6907,0.2739,0.0091,0.1993,4.7402,-0.105,4.9485
40.0,166956.0,13.7219,0.5176,0.2784,-0.1142,10.0074,7.7557,-2.2633
40.0,37379.0,13.4212,-0.6057,-0.6815,-0.3014,-10.2576,-15.9669,-6.6849
40.0,64104.0,9.7051,0.2018,-0.5678,-0.0702,-0.1893,-0.0129,0.0009
40.0,71259.0,13.6913,0.437,0.3041,0.3894,1.2311,0.9374,1.1993
40.0,171103.0,13.5958,-0.4335,-0.3802,-0.5913,-7.944,-8.3949,-12.0376
40.0,29939.0,4.5529,-1.4939,-1.4536,-0.0236,-2.8857,-2.844,0.2021
40.0,89468.0,7.4357,-0.2231,0.1759,-0.3933,-0.8488,0.6658,-1.1219
40.0,161794.0,4.3564,-0.2608,0.1736,0.0894,0.1233,0.1202,0.5618
40.0,112037.0,15.4367,-1.7987,-0.6637,0.6284,-24.4733,-11.0356,8.5659
40.0,30179.0,8.2729,-0.2319,0.3149,-0.2739,0.0437,-0.274,0.1262
40.0,75833.0,14.5167,0.3066,-0.1734,-0.6436,-1.7166,0.2658,0.6049
40.0,72227.0,13.7507,-0.5537,0.5084,0.091,-0.1871,-0.5872,-0.8522
50.0019,98767.0,3.6231,-0.8534,-1.655,0.1489,-6.5867,-13.8954,0.8604
50.0019,82025.0,13.4732,-0.3439,0.439,-0.1,0.3225,-0.7868,0.2199
50.0019,148820.0,3.808,-0.357,0.2301,-0.1562,1.6569,-0.1233,0.7302
50.0019,113029.0,4.2814,0.4316,1.5911,-1.5514,3.2149,17.5815,-17.5269
50.0019,114015.0,14.1486,0.1942,0.1311,1.3499,3.1011,4.0883,44.0585
50.0019,165361.0,9.1066,0.0828,-0.1154,0.774,2.2388,-3.2541,18.3607
50.0019,122262.0,13.4132,-0.428,-0.6038,0.8073,0.308,0.4774,0.1712
50.0019,156057.0,8.9361,-1.0442,-1.1465,-1.0573,-20.5572,-26.96,-22.3464
50.0019,182364.0,13.4917,-0.9021,0.1278,-0.1522,-28.4632,0.2989,-4.6028
50.0019,22600.0,3.808,-1.0442,0.4148,0.2789,-10.1437,3.6859,2.5623
50.0019,192094.0,7.4595,1.7702,-0.8202,0.4264,32.6233,-12.324,5.0851
50.0019,164871.0,13.412,0.4944,-0.1065,-0.1446,17.4834,0.8901,-4.2929
50.0019,158304.0,8.8941,1.1495,-0.7558,-0.8219,29.5079,-16.3623,-15.0209
50.0019,64104.0,9.7051,0.4196,0.3596,-0.0699,0.2559,-0.1727,0.0252
50.0019,167664.0,4.5367,0.2841,0.7893,-1.5902,3.0159,8.9646,-19.9508
50.0019,26198.0,14.7988,-0.6135,0.0228,0.6992,-0.2419,0.0408,0.2785
50.0019,37197.0,13.4125,0.2773,0.7885,0.0154,7.3897,25.2995,1.1988
50.0019,53097.0,3.7738,-0.3953,-0.2083,-0.2226,0.7771,-0.0643,1.4531
50.0019,45715.0,5.0801,0.1043,-0.0902,0.9704,-0.472,-3.6763,12.5558
50.0019,10490.0,3.9958,-0.9612,0.6695,-1.9653,-10.2388,5.7888,-21.9372
50.0019,106145.0,4.9186,-1.1172,-0.5285,-0.4497,-14.6134,-6.7182,-4.1221
50.0019,26128.0,14.146,0.528,0.137,0.4504,14.4917,5.8994,14.1857
50.0019,119939.0,3.8947,-0.0675,0.6227,0.2601,-0.37,0.288,-0.1404
50.0019,91864.0,13.4724,0.0597,0.2226,-0.4696,-0.5332,9.2227,-16.2218
50.0019,94615.0,5.7676,-0.5353,-1.4939,-1.6181,-4.5237,-22.1687,-27.7425
50.0019,103571.0,4.604,-0.0589,0.4068,0.4348,1.2606,6.1174,5.4408
50.0019,102728.0,4.7954,0.4424,0.4853,0.1216,7.7246,3.9607,2.8153
50.0019,65272.0,4.518,-0.6758,-0.75,-0.7085,-7.7151,-9.1353,-8.3106
50.0019,70790.0,5.0954,-0.6674,-2.5972,-0.9038,-4.5673,-32.042,-13.6623
50.0019,77052.0,14.6265,0.4257,-0.8995,0.0656,19.6672,-24.7734,1.4329
60.0015,41788.0,3.43,-0.8119,0.7323,1.21,-14.8658,12.1545,21.0115
60.0015,133576.0,10.2363,0.3413,-0.4096,-0.1787,15.6228,-12.7336,-6.8705
60.0015,148820.0,3.808,0.2579,0.0535,0.1271,-1.429,-1.3516,-0.8438
60.0015,22600.0,3.808,-0.9767,0.5066,0.2695,-20.2118,8.2857,5.2953
60.0015,5116.0,4.9871,0.3283,0.0412,1.7511,6.8537,2.4619,42.3033
60.0015,122195.0,4.2406,-0.8798,-0.3888,0.251,-16.9411,-12.1201,5.0856
60.0015,154591.0,3.6181,0.1096,1.0314,-0.1781,0.6025,22.5172,-2.9752
60.0015,184780.0,3.2553,-0.7935,-1.0184,1.156,-10.8422,-17.4245,17.4881
60.0015,187554.0,13.4123,0.1685,0.2906,-0.4798,4.2112,14.4785,-22.3339
60.0015,154277.0,13.4062,-0.3713,-0.0242,0.204,-3.7259,0.2715,0.5326
60.0015,163001.0,13.439,-0.1671,0.2769,-0.1592,0.1148,3.9497,-1.7265
60.0015,165969.0,4.0271,-0.323,-0.8855,-0.3878,-3.8125,-19.4196,-7.3666
60.0015,64104.0,9.7051,0.4827,0.1098,-0.0305,0.1064,-0.2655,0.0358
60.0015,37946.0,4.1884,1.5283,0.7785,0.4308,29.6032,19.5349,4.9829
60.0015,184090.0,15.3718,0.7023,0.5833,0.0049,20.6633,25.242,0.2673
60.0015,69563.0,14.0088,0.139,0.1107,-0.2109,0.0956,-0.1079,0.1256
60.0015,5720.0,7.9139,0.224,0.1509,0.9277,0.1831,-0.2149,-0.1875
60.0015,10412.0,4.9852,0.3649,-0.0336,0.0347,12.3226,-0.1198,0.8271
